student_id,date,Start DateTime,End DateTime,shelfreads_completed,start_call,end_call,Duration
18.0,2022-09-23,2022-09-23 15:36:00,2022-09-23 15:50:00,21.0,RC488.E9,RC488.53.H54 1993,0.23
18.0,2022-09-30,2022-09-30 15:13:00,2022-09-30 15:58:00,56.0,RC488.53.K366 2003,RC514.C69,0.75
16.0,2022-10-19,2022-10-19 14:22:00,2022-10-19 14:35:00,12.0,RC514.D267 1986,RC521.H352 2001,0.22
16.0,2022-10-26,2022-10-26 15:13:00,2022-10-26 15:55:00,20.0,RC521.H364 2003,RC537.H337 1982,0.7
16.0,2022-12-14,2022-12-14 14:08:00,2022-12-14 15:00:00,14.0,RC537.H337 1992b,RC552.E18M364 2005,0.87
16.0,2022-12-14,2022-12-14 15:42:00,2022-12-14 15:58:00,10.0,RC552.E18M37 2007,RC553.A88M42 2008,0.27
16.0,2023-01-12,2023-01-12 11:45:00,2023-01-12 12:30:00,38.0,RC553.A8M67 1996,RC569.S469 1999,0.75
16.0,2023-01-24,2023-01-24 12:10:00,2023-01-24 12:50:00,26.0,RC569.S47 1993,RC601.C7,0.67
16.0,2023-01-30,2023-01-30 13:32:00,2023-01-30 13:55:00,6.0,RC601.H12,RC607.A26S377 1996,0.38
16.0,2023-02-13,2023-02-13 12:22:00,2023-02-13 12:55:00,15.0,RC.A26S429 1998,RC647.P3W4 vol.2,0.55
16.0,2023-04-03,2023-04-03 12:15:00,2023-04-03 12:58:00,22.0,RC648.A1N88 1995,RC862.E47D7 1974,0.72
16.0,2023-04-26,2023-04-26 11:22:00,2023-04-26 12:02:00,13.0,RC862.E47O4,RC961.I58 2015,0.67
16.0,2023-06-14,2023-06-14 10:30:00,2023-06-14 11:11:00,15.0,RC961.M26 1954,RC1210.M23 1991,0.68
16.0,2023-06-14,2023-06-14 13:50:00,2023-06-14 14:50:00,36.0,RC1210.M27 2004,RF290.A915 1981 vol.1,1.0
16.0,2023-06-20,2023-06-20 10:00:00,2023-06-20 10:58:00,33.0,RF290.A915 1981 vol. 2,RG518.U5W47,0.97
16.0,2023-06-21,2023-06-21 13:50:00,2023-06-21 15:00:00,36.0,RG.U5W47 1989,RJ242.L55,1.17
16.0,2023-06-23,2023-06-23 14:25:00,2023-06-23 15:00:00,11.0,RJ242.S7,RJ496.A6E57 cop.2,0.58
16.0,2023-06-27,2023-06-27 11:40:00,2023-06-27 11:55:00,11.0,RJ.A6K3,RJ499.A1C3 cop.7,0.25
16.0,2023-06-28,2023-06-28 10:20:00,2023-06-28 11:05:00,14.0,RJ499.A1C42 vol.2,RJ502.5.L55 2009,0.75
16.0,2023-07-12,2023-07-12 11:20:00,2023-07-12 11:55:00,13.0,RJ506.J88D44 1982,RK76.A73 1977,0.58
16.0,2023-07-14,2023-07-14 14:30:00,2023-07-14 15:15:00,24.0,RK79.L6,RM275.B413,0.75
16.0,2023-07-14,2023-07-14 15:40:00,2023-07-14 16:25:00,28.0,RM275.P29 1962a,RM923.H4,0.75
16.0,2023-08-04,2023-08-04 13:30:00,2023-08-04 15:00:00,53.0,RM923.R6,S441.M115 1997,1.5
